Article,Date,Heading,SportsType,Location,NamesBody,NamesHeading,Organizations
"MOHALI: Pakistan failed to meet the challenge as they were beaten by 22 runs in their crucial match against New Zealand in the World Twenty20 Super Ten Group Two here at the Punjab Cricket Association IS Bindra Stadium on Tuesday night.New Zealand have qualified for the semi-finals after recording the third consecutive win in the tournament.Chasing an improbable target of 181, opener Sharjeel Khan made an explosive start, smashing 47 from 25 balls with nine fours and a six to take Pakistan to 65 in the sixth over but as soon he departed, the hopes of winning the match were gradually fading out.Then, Khalid Latif who did not play any T20 International since 2012, failed to impress and got out for just three runs.Later, Ahmed Shehzad was also dismissed for 30 when Pakistan reached 96 in the 13th over.When Shahid Afridi joined Umar Akmal, they were expected to accelerate the run rate but they could add only 27 runs from 17 balls before Afridi got out after hitting 19 off nine balls with two fours and a six.Pakistan still needed 58 runs from 29 balls but Umar Akmal was also gone for 24 when Pakistan were on 140 in the 18th over.Then, Shoaib Malik and Sarfraz Nawaz could not hit any four or six as Pakistan finished on 158-5 in their 20 overs.Earlier, Martin Guptills 48-ball 80 guided New Zealand to post a big total of 180 runs for five wickets after they opted for batting first.Guptill with his captain Kane Williamson provided a sound start of 62 before the latter fell to fast bowler Mohammad Irfan for 17. Then soon another wicket fell when captain Shahid Afridi got Colin Munro caught by Khalid Latif for seven.Later Guptill and Corey Anderson added 52 from 34 balls before Guptill was bowled by fast bowler Mohammad Sami, after an aggressive innings of 80, laced with three towering sixes ten fours in 48 balls. Another wicket fell quickly as Anderson was caught by Shoaib Malik off Afridi for 21.Ross Taylor along with Luke Ronchi took the score to 164 when Sami got Ronchi out caught by Malik for 11.However, Taylor remained not out on 36 as New Zealand set an improbable target of 181for Pakistan.Sami bowled extremely well taking two for 23 and Afridi got two for 40 while Irfan took one wicket.",3/22/2016,Pakistan give up chase as New Zealand reach semi,cricket,MOHALI,Latif;Akmal;Kane;Sharjeel;Irfan;Munro;Khalid Latif;Mohammad Sami;Shehzad;Guptills;Taylor;Sami;Malik;Sharjeel Khan;Guptill;Shahid Afridi;Luke Ronchi;Umar;Ahmed Shehzad;Nawaz;Martin Guptills;Khan;Kane Williamson;Corey Anderson;Shoaib Malik;Williamson;Sarfraz Nawaz;Ross;Mohammad Irfan;Khalid;Ahmed;Colin Munro;Colin;Luke;Umar Akmal;Sarfraz;Martin;Ross Taylor;Anderson;Mohammad;Ronchi;Shoaib;Afridi;Shahid;Corey,,
"MOHALI: Opener Martin Guptills explosive innings guided New Zealand to post a big total of 180 runs for five wickets against Pakistan in the World Twenty20 Super Ten Group Two match here at the the Punjab Cricket Association IS Bindra Stadium on Tuesday night.Batting first after winning the toss, Guptill with his captain Kane Williamson provided a sound start of 62 before the latter fell to fast bowler Mohammad Irfan for 17. Then soon another wicket feel when captain Shahid Afridi got Colin Munro caught by Khalid Latif for seven and New Zealand were 75 for two in 8.5 overs.Later Guptill and Corey Anderson added 52 from 34 balls before Guptill was bowled by fast bowler Mohammad Sami, after an aggressive innings of 80, laced with three towering sixes ten fours in 48 balls.Another wicket fell quickly as Anderson was caught by Shoaib Malik off Afridi for 21.Ross Taylor along with Luke Ronchi took the score to 164 when Sami got Ronchi out caught by Malik for 11.However, Taylor remained not out on 36 as New Zealand set an improbable target of 181for Pakistan.Sami bowled extremely well taking two for 23 and Afridi got two for 40 while Irfan took one wicket.New Zealand made no change in their team while Pakistan made two changes  bringing in top-order batsman Khalid Latif and left-arm spinning all-rounder Imad Wasim in place of Mohammad Hafeez and Wahab Riaz who are injured.",3/22/2016,Guptill powers New Zealand to 180 5 against Paki,cricket,MOHALI,Latif;Kane;Irfan;Munro;Khalid Latif;Mohammad Sami;Guptills;Taylor;Wahab;Sami;Hafeez;Malik;Guptill;Shahid Afridi;Luke Ronchi;Imad;Martin Guptills;Mohammad Hafeez;Kane Williamson;Corey Anderson;Wahab Riaz;Shoaib Malik;Williamson;Wasim;Ross;Imad Wasim;Mohammad Irfan;Colin Munro;Colin;Khalid;Luke;Martin;Ross Taylor;Anderson;Mohammad;Ronchi;Shoaib;Riaz;Afridi;Shahid;Corey,Guptill,Punjab Cricket Association
"MOHALI: New Zealand captain Kane Willliamson won the toss and decided to bat first against Pakistan in the World Twenty20 Super Ten Group Two match here at the Punjab Cricket Association IS Bindra Stadium on Tuesday night.This was third successive toss win for New Zealand who tops the points table with four points from their two matches so far.New Zealand made no change in their team while Pakistan made two changes  bringing in top-order batsman Khalid Latif and left-arm spinning all-rounder Imad Wasim in place of Mohammad Hafeez and Wahab Riaz who are injured.A bone contusion on his right femur ruled Mohammad Hafeez out of the match, while Wahab Riaz, who was struck just above the ear by a throw at practice.Pakistan need a win badly otherwise they end up having to depend on other results going their way for their progress in the tournament.Opening batsman Khalid Latif has already played seven T20 Internationals but he last appeared for Pakistan in June 2012.New Zealand: Martin Guptill, Kane Williamson (captain), Colin Munro, Corey Anderson, Ross Taylor, Grant Elliot, Luke Ronchi (wk), Mitchell Santner, Mitchell McClenaghan, Ish Sodhi, Adam MilnePakistan: Sharjeel Khan, Ahmed Shehzad, Khalid Latif, Umar Akmal, Shoaib Malik, Sarfraz Ahmed (wk), Shahid Afridi (captain), Imad Wasim, Mohammad Irfan, Mohammad Sami, Mohammad Amir.",3/22/2016,New Zealand win toss bat against Paki,cricket,MOHALI,Latif;Grant Elliot;Santner;Akmal;Elliot;Kane;Sharjeel;Munro;Irfan;Khalid Latif;Mohammad Sami;Shehzad;MilnePakistan;Taylor;Mohammad Amir;Wahab;Mitchell McClenaghan;Sodhi;McClenaghan;Sami;Hafeez;Adam;Malik;Ish Sodhi;Sharjeel Khan;Guptill;Shahid Afridi;Luke Ronchi;Umar;Ahmed Shehzad;Kane Willliamson;Imad;Sarfraz Ahmed;Mohammad Hafeez;Khan;Kane Williamson;Corey Anderson;Wahab Riaz;Shoaib Malik;Williamson;Mitchell;Willliamson;Wasim;Ross;Imad Wasim;Ish;Mohammad Irfan;Khalid;Colin Munro;Colin;Grant;Ahmed;Luke;Umar Akmal;Sarfraz;Martin;Ross Taylor;Amir;Anderson;Mohammad;Ronchi;Shoaib;Mitchell Santner;Martin Guptill;Riaz;Afridi;Corey;Adam MilnePakistan;Shahid,,
"DHARAMSALA: England women survived a dreadful bowling attack from India to emerge victorious at a slow, spinning pitch of the Himachal Pradesh Cricket Association Stadium in the Womens World Twenty20 Group B 11th match on Tuesday.Chasing an easy target of 91, England cruised to a two-wicket win, after losing eight wickets, with an over to spare.Left-arm bowler Ekta Bisht bowled remarkably well to bring back India into the game but Englands late-order batters managed to escape a total collapse.Bisht grabbed four wickets for 21 and pace bowler Harmanpreet Kaur claimed two for 22.Only three English batters could get into the double figures. They were Tammy Beaumont (20), Natalie Sciver (19) and Sarah Taylor (16).Earlier, England Women restricted India Women to 90 runs for eight wickets after their captain Charlotte Edwards won the toss and bowled first.Off-spinner Heather Knight took the new ball and tied India into knots at a slow, spinning pitch as she captured three wickets for 15 runs while medium-pacers Anya Shrubsole and Sciver claimed two for 12 and one for seven, respectively.For India, Harmanpreet Kaur top scored with 26 and captain Mithali Raj made 20 while three more batters got into the double figures.After the match ended, Knight was declared the Player of the Match.",3/22/2016,Womens World T20 England beat India in nail biting fini,cricket,DHARAMSALA,Charlotte;Heather Knight;Harmanpreet Kaur;Anya;Sciver;Shrubsole;Mithali Raj;Ekta Bisht;Ekta;Sarah Taylor;Sarah;Knight;Harmanpreet;Tammy;Charlotte Edwards;Heather;Taylor;Anya Shrubsole;Bisht;Mithali;Kaur;Tammy Beaumont;Beaumont;Natalie Sciver;Natalie;Edwards;Raj,,Himachal Pradesh Cricket Association Stadium
"DHARAMSALA: England women restricted India Women to a mere 90 runs for eight wickets in their 20 overs in the Womens World Twenty20 Group B 11th match here at the Himachal Pradesh Cricket Association Stadium on Tuesday.After England women captain Charlotte Edwards won the toss and put India women into bat, off-spinner Heather Knight took the new ball and tied India into knots at a slow, spinning pitch.She captured three wickets for 15 runs from her four overs while medium-pacers Anya Shrubsole and Natalie Sciver claimed two for 12 and one for seven, respectively.For India, Harmanpreet Kaur top scored with 26 and captain Mithali Raj made 20 while three more batters got into the double figures.",3/22/2016,Womens World T20 England restrict India to 90 8,cricket,DHARAMSALA,Harmanpreet;Charlotte Edwards;Charlotte;Heather;Heather Knight;Anya Shrubsole;Harmanpreet Kaur;Anya;Sciver;Shrubsole;Mithali Raj;Mithali;Kaur;Natalie Sciver;Natalie;Edwards;Knight;Raj,,
"NAGPUR: South Africa will play Fridays vital World Twenty20 Group 1 match against West Indies without all-rounder JP Duminy who has been ruled out with a hamstring strain.Duminy picked up the injury while fielding in Sundays 37-run victory over Afghanistan and will be a loss for the side with bat and ball.""The scans which were done yesterday (Monday) confirmed our clinical suspicion of a hamstring strain which means that he will be ruled out of Fridays game against the West Indies in Nagpur,"" team manager Mohammed Moosajee said in a Cricket South Africa statement on Tuesday.""The plan is to try and get him ready for our last round-robin match against Sri Lanka in Delhi on Sunday.""Duminy has scored 83 runs from 48 balls in the competition without being dismissed and took 1-31 in three overs in the two-wicket defeat by England in South Africas opening game.The 31-year-old is his countrys leading scorer in Twenty20 Internationals with 1,654 runs in 70 matches, fourth on the all-time list headed by New Zealands Brendon McCullum.",3/22/2016,South Africas Duminy ruled out of Windies g,cricket,NAGPUR,Duminy;Moosajee;JP;Mohammed Moosajee;JP Duminy;Mohammed;McCullum,,World Twenty20 Group
"BENGALURU: India edged out Bangladesh by one run in a thrilling World Twenty20 match on Wednesday to keep alive their hopes of reaching the semi-finals.India posted a modest 146-7 after being sent in to bat, but Bangladesh lost three wickets, including a last-ball run out, in the final over to fall to a narrow defeat.",3/23/2016,India beat Bangladesh by one run in World T20,cricket,BENGALURU,,,
"Bengaluru: Bangladesh put in a much-improved performance with the ball to restrict hosts India to 146-7 in a World Twenty20 Group Two match on Wednesday./>India, under pressure after being beaten by New Zealand in their opening match, lost both openers in quick succession with less than 50 runs on the board after being asked to bat by Bangladesh captain Mashrafe Mortaza.Rohit Sharma (18) was the first to fall, caught by Sabbir Rahman after skying a Mustafizur Rahman delivery in the sixth over. Shakib Al Hasan trapped Shikhar Dhawan (23) lbw in the next over, to leave the hosts at 45-2.Virat Kohli (24) and Suresh Raina (30) steadied the ship for India, adding 50 runs for the third wicket, but a disciplined performance by the Bangladesh bowlers kept the Indian batsmen under constant pressure.Shuvagata Hom bowled Kohli before Al-Amin Hossian, who had been hit for back-back-sixes by Raina, rallied to dismiss the big-hitting Hardik Pandya and Raina with consecutive deliveries.Pandya (15), hit two boundaries and a six before a diving Soumya Sarkar pulled off a stunning catch in the outfield to send him packing.Hossian took a simple catch of a Mahmudullah delivery to see off Yuvraj Singh for three and Mustafizur Rahman struck again at the death to remove Ravindra Jadeja for 12 with the first ball of the last over to keep India below 150.Bangladesh lost their first two matches in Group Two.",3/23/2016,Bangladesh restrict India to 146 7 in World T20,cricket,Bengaluru,Pandya;Suresh;Hasan;Jadeja;Hardik;Al;Ravindra Jadeja;Mashrafe Mortaza.Rohit Sharma;Mortaza.Rohit;Shakib Al Hasan;Mustafizur Rahman;Mashrafe;Hardik Pandya;Ravindra;Suresh Raina;Hossian;Singh;Raina;Shikhar Dhawan;Virat;Sabbir Rahman;Yuvraj;Hom;Al-Amin Hossian;Soumya;Al-Amin;Sabbir;Mustafizur;Shakib;Soumya Sarkar;Virat Kohli;Sharma;Rahman;Shikhar;Kohli;Sarkar;Dhawan;Yuvraj Singh,,
"BANGALORE: Bangladesh captain Mashrafe Mortaza decided to field first against India on a flat pitch with a covering of grass, which should not worry the batsmen who can hit through the line.Tamim Iqbal, who missed the Australia game due to food poisoning, returned to the team. He replaced left-arm spinner Saqlain Sajib, who made his international debut in the last match against Australia.India made no change and went with the same line-up who defeated Pakistan on Saturday.Teams:India: Rohit Sharma, Shikhar Dhawan, Virat Kohli, Suresh Raina, Yuvraj Singh, MS Dhoni (captain &amp; wk), Hardik Pandya, Ravindra Jadeja, R Ashwin, Jasprit Bumrah, Ashish NehraBangladesh: Tamim Iqbal, Soumya Sarkar, Sabbir Rahman, Shakib Al Hasan, Mushfiqur Rahim (wk), Mahmudullah, Mohammad Mithun, Shuvagata Hom, Mashrafe Mortaza (captain), Al-Amin Hossain, Mustafizur Rahman",3/23/2016,Bangladesh win toss field against Indi,cricket,BANGALORE,Suresh;Jadeja;Hasan;Hardik;Saqlain;Ravindra Jadeja;Mustafizur Rahman;Mashrafe;Ravindra;Rohit Sharma;Ashish;Suresh Raina;Al-Amin Hossain;Raina;Mushfiqur;Virat;Jasprit Bumrah;Rohit;Sabbir Rahman;Yuvraj;Hom;Dhoni;NehraBangladesh;Mithun;Hossain;Mustafizur;Shakib;Virat Kohli;Rahman;Kohli;Jasprit;Ashwin;Sarkar;Shuvagata Hom;Bumrah;Pandya;Al;Mohammad Mithun;Shakib Al Hasan;Hardik Pandya;Shuvagata;Saqlain Sajib;Singh;Shikhar Dhawan;Mahmudullah;Mortaza;Tamim;Soumya;Mashrafe Mortaza;Sajib;Al-Amin;Rahim;Mohammad;Tamim Iqbal;Sabbir;Soumya Sarkar;Sharma;Shikhar;Dhawan;Ashish NehraBangladesh;Mushfiqur Rahim;Yuvraj Singh;Iqbal,,
"Delhi: Cricket minnows Afghanistan gave a tough time to England who emerged victorious in the end in the World Twenty20 Super Ten Group One match here at the Feroz Shah Kotla ground on Wednesday.Chasing 143, they made a disastrous start but finished at 127 for nine to lose the match by 15 runs.Shafiqullah top-scored with an unbeaten 35 from 20 balls. He struck two towering sixes and four boundaries.Other main scorer was Samiullah Shenwari, who made 22.Leg-spinner Adil Rashid and left-arm pacer David Willey claimed two wickets each while off-spinner Moeen Ali, and seamers Chris Jordan and Ben Stokes took one wicket each.Earlier, England managed to avoid a total collapse after losing seven wickets for 85, batting first after winning the toss.England batsmen could not resist against Afghan spinners but it was Moeen Ali who saved his team from an embarrassing situation to steer them to 142 for seven.Ali remained not out on 41, made from 33 balls with four boundaries and a six. He was ably supported by tail-ender David Willey, who contributed an unbeaten 20, hitting two sixes. Both added 57 runs from 33 balls for an unbeaten eighth wicket stand.For Afghanistan, off-break bowler Muhammad Nabi and leg-break bowler Rashid Khan captured two wickets for 17 each while leg-spinner Samiullah Shenwari and left-arm spinner Amir Hamza took one wicket each.",3/23/2016,Afghanistan beaten after giving tough time to England,cricket,Delhi,David Willey;Rashid;Willey;Khan;Samiullah;Ben Stokes;Muhammad Nabi;Chris;Amir Hamza;Jordan;Samiullah Shenwari;Adil Rashid;Ben;Amir;Rashid Khan;Moeen Ali;Muhammad;Stokes;Shenwari;David;Adil;Moeen;Chris Jordan;Nabi;Ali;Hamza,,
"DELHI: England managed to avoid total collapse after losing seven wickets for 85 against minnows Afghanistan in the World Twenty20 Super Ten Group One match here at the Feroz Shah Kotla ground on Wednesday.Batted first after winning the toss, England batsmen could not resist against Afghan spinners but it was Moeen Ali who saved his team from an embarrassing situation and steered them to 142 for seven in their 20 overs.Ali remained not out on 41, made from 33 balls with four boundaries and a six. He was ably supported by David Willey, who contributed an unbeaten 20 hitting two sixes. Both added 57 runs from 33 balls for an unbeaten eighth wicket stand.Only three other batsmen could get into the double figures  James Vince (22), Chris Jordan (15) and Joe Root (12).For Afghanistan, off-break bowler Muhammad Nabi and leg-break bowler Rashid Khan captured two wickets for 17 each while leg-spinner Samiullah Shenwari and left-arm spinner Amir Hamza took one wicket each.England made two changes  bringing in James Vince in place of Alex Hales, who has a stiff back, while Liam Plunkett was preferred to Reece Topley while Afghanistan made one change, with Shafiqullah, replacing Dawlat Zadran.",3/23/2016,Moeen saves England from total ,cricket,DELHI,Reece Topley;David Willey;Rashid;Hales;Willey;Khan;Samiullah;Muhammad Nabi;Chris;Zadran;Amir Hamza;Jordan;Shafiqullah;Dawlat Zadran;Samiullah Shenwari;Joe;Alex;James;Root;Liam Plunkett;Reece;Plunkett;Amir;Joe Root;Topley;Rashid Khan;Liam;Moeen Ali;Vince;Muhammad;Shenwari;David;Alex Hales;Moeen;Dawlat;Chris Jordan;Nabi;Ali;James Vince;Hamza,Moeen;Moeen Ali,
"LAHORE: In the wake of national teams continued poor performance in the Asia Cup and now in the World Twenty20, the Pakistan Cricket Board (PCB) has decided to sack the head coach, chief selector and captain of the team, according to sources.The sources said that the PCB is not satisfied with the performances of head coach Waqar Younis, chief selector Haroon Rasheed and captain Pakistan T20 team Shahid Khan Afridi and decided to sack them.Moreover, it has been decided to dismiss Haroon Rasheed also from the PCB employment.",3/23/2016,PCB decides to sack head coach chief selector captai,cricket,LAHORE,Khan;Rasheed;Younis;Haroon Rasheed;Waqar;Shahid Khan Afridi;Haroon;Afridi;Waqar Younis;Shahid,,PCB
"NEW DELHI: England captain Eoin Morgan won the toss and elected to bat first against Afghanistan in the World Twenty20 Super en, Group One match here at the Feroz Shah Kotla ground on Wednesday.Teams:England: Jason Roy, James Vince, Joe Root, Jos Buttler (wk), Eoin Morgan (captain), Ben Stokes, Moeen Ali, Adil Rashid, David Willey, Chris Jordan, Liam Plunkett.Afghanistan: Mohammad Shahzad (wk), Noor Ali Zadran, Asghar Stanikzai (captain), Shafiqullah, Mohammad Nabi, Gulbadin Naib, Samiullah Shenwari, Najibullah Zadran, Rashid Khan, Amir Hamza, Shapoor Zadran.England have played Afghanistan on two previous occasions at an ICC global event. Their first encounter came at Colombo in October 2012, during the World T20. England won by 116 runs, thanks to 99 not out from 55 balls from the long-forgotten Luke Wright.Their most recent clash was at Sydney in March 2015, in England's final contest of their miserable World Cup campaign. In a soggy, downbeat affair, Ian Bell signed off from ODI cricket with 52 not out from 56 balls in a nine-wicket win.England lost their most recent encounter with an Associate nation at the World T20, when the Netherlands crushed them by 45 runs in Chittagong.",3/23/2016,England win toss bat against Afghani,cricket,NEW DELHI,Mohammad Shahzad;David Willey;Rashid;Gulbadin;Naib;Samiullah;Plunkett.Afghanistan;Chris;Zadran;Jason;Najibullah;Asghar Stanikzai;Buttler;Joe;Noor;Root;Najibullah Zadran;Adil Rashid;Joe Root;Liam;Rashid Khan;Moeen Ali;Jos;Stanikzai;Stokes;Ian;David;Adil;Bell;Roy;Moeen;Chris Jordan;Hamza;Mohammad Nabi;Ian Bell;Noor Ali Zadran;Willey;Khan;Asghar;Eoin;Gulbadin Naib;Ben Stokes;Morgan;Liam Plunkett.Afghanistan;Amir Hamza;Jordan;Samiullah Shenwari;James;Shahzad;Jos Buttler;Ben;Amir;Mohammad;Vince;Shenwari;Eoin Morgan;Jason Roy;Nabi;James Vince;Ali,Afghani,
"NEW DELHI: Bangladesh failed in their frantic bid to get paceman Taskin Ahmeds bowling suspension overturned to help revive their flagging World Twenty20 campaign after a judicial commissioner upheld the ban for an illegal bowling action.The right-arm bowler and his team mate, left-arm spinner Arafat Sunny, were suspended from bowling on Saturday after both were reported for illegal actions following a March 9 qualifier against the Netherlands in Dharamsala.""Taskin Ahmeds suspension from bowling in international cricket has been upheld, following a review hearing conducted by a Judicial Commissioner,"" the International Cricket Council (ICC) said in a statement on Wednesday.After Taskin requested an expeditious review of his case and judicial commissioner Michael Beloff held a teleconference on Tuesday, the global governing body explained their decision.""Having carefully considered those arguments and the responses of the ICC, Mr Beloff has now notified all parties concerned of his decision that Taskins suspension from bowling in international cricket shall be upheld and indicated that a written reasoned decision will be provided in due course,"" it said.After being reported in Dharamsala, Taskin, was assessed at the ICC-accredited test centre in Chennai where, according to media reports, his bouncers were found to exceed the ICC limit of elbow extensions.After fixing his action, Taskin, who turns 21 next month, could apply for a re-assessment, the ICC said.""In the event of such re-assessment concluding that Taskin has remedied his bowling action and that his elbow extension is within the permissible level on all of his standard deliveries, his suspension shall be lifted and he shall be permitted to resume bowling in international cricket.""It has been a forgettable World Twenty20 for Taskins team so far, with Bangladesh losing their first two main draw matches against Pakistan and Australia, and they are heavy underdogs when they take on hosts India in Bangalore later on Wednesday.",3/23/2016,Blow for Bangladesh as ICC uphold Taskin suspensi,cricket,NEW DELHI,Michael Beloff;Arafat;Michael;Beloff;Taskin,Taskin,Taskins;International Cricket Council;ICC
"NEW DELHI: Sidra Amins unbeaten 50 helped Pakistani womens cricket team secure a comfortable win against Bangladesh by 9 wickets in the Women World Twenty20 tournament here on Thursday.Chasing down a mediocre target of 114 runs, Sidra Amin scored impressive 53 runs while Bisma Maroof made 43. The two players unbeaten partnership contributed 99, pushing the team to achieve the required target in the 17th over.Sidra Amin was declared player of the match.Earlier, Bangladesh women team scored 113 runs from the 20 overs.In their previous match, the Pakistan womens team had defeated India under a Duckworth-Lewis method due to rain.",3/24/2016,Sidra powers Pakistan to tame Bangladesh in WWT20,cricket,NEW DELHI,Sidra Amin;Bisma;Maroof;Amin;Bisma Maroof;Sidra,Sidra;Sidra Amin,Sidra Amins
"NEW DELHI: Australian all-rounder Shane Watson will bow out of international cricket after the World Twenty20 in India, cutting the teams last link to their golden era in the early 2000s.The 34-year-old blond quit tests last year after losing his battle against a spate of injuries that plagued his career, and has not featured in a one-day international since September.""One morning I woke up in Dharamsala, waking up to the beautiful view and I dont know what it was exactly but I knew now was the right time,"" Watson told reporters in Mohali where Australia take on Pakistan in their next Super 10 match on Friday.""Ive really enjoyed my time being back in the Australian squad.But it is quite different, none of the other guys I played with growing up are here any more,"" he added.Watson made his one-day debut against South Africa in 2002, three years before he broke into the test team led by Ricky Ponting.Watson played along side the likes of Ponting, Glenn McGrath, Shane Warne and Adam Gilchrist and also helped to rebuild the side after his seniors quit the game.Since his 2005 test debut against Pakistan, regular hamstring and back injuries have taken a toll on Watsons body, prompting him to end his test career after 59 matches, scoring a total of 3731 runs to go with 75 wickets.Watson was part of Australias 2007 and 2015 World Cup winning teams.A World Twenty20 title continues to elude Australia but Watson was adjudged player of the tournament at the 2012 edition of the tournament in Sri Lanka.The big-hitting all-rounder will continue to play domestic Twenty20 tournaments including the Big Bash League for the Sydney Thunder, Cricket Australia said.",3/24/2016,Watson to quit international cricket after World T20,cricket,NEW DELHI,Shane;Adam Gilchrist;Ricky Ponting.Watson;Warne;Watson;Ricky;Ponting.Watson;Adam;Shane Warne;Gilchrist;Shane Watson;Glenn McGrath;McGrath;Glenn,Watson;Shane Watson,Big Bash League
"MOHALI: Pakistani all-rounder Shoaib Malik has ruled out grouping in the national team, saying that there was 'no substance' in the allegations.Addressing a press conference here Thursday, Malik said the air of negativity which surrounds players has hampered team spirit.He said, If Shahid Afridi wins the World Cup no one will be happier than me.Malik said that all the players want the team to win.Talking about successful teams he said, The top teams are successful because they have strong internal leagues. We, on the other hand, are not able to play with consistency.Praising bowler Mohammad Amir, he said his game is getting better every day. Amir is an extraordinary bowler.On a question about the fact that the team was playing old fashioned cricket, he said, If we were playing old fashioned cricket we would not have been able to score 180 or 200 runs.",3/24/2016,Shoaib Malik rules out grouping in Pakistani ,cricket,MOHALI,Mohammad Amir;Amir;Mohammad;Shoaib;Malik;Shoaib Malik;Shahid Afridi;Afridi;Shahid,Shoaib Malik,
"NAGPUR: West Indies maintained their winning streak defeating South Africa by three wickets in the Super Ten Group One match of the World Twenty20 here at the Vidarbha Cricket Association Stadium on Friday night.Chasing an easy target of 123, they completed their third consecutive victory, with two balls remaining, to qualify for playing the semi-finals.Their main scorers were Marlon Samuels (44) and Johnson Charles (32) while no other batsman could make any significant contribution.For South Africa, leg-spinner Imran Tahir was the most successful bowler with two for 13. He grabbed both wickets on successive deliveries.Earlier, South Africa were restricted to 122 runs for eight wickets after sent into bat by West Indies captain Darren Sammy.South Africa batsmen could not resist against the South African bowlers as only four batsmen got into the double-figures.Opener Quinton de Kock top scored with a solid 47, hitting three fours and a six. He was followed by David Wiese, who scored a fine innings of 28.Chris Gayle, Dwayne Bravo and Andre Russell claimed two wickets each for West Indies.",3/25/2016,West Indies beat South Africa to reach semi,cricket,NAGPUR,de;Imran Tahir;Johnson Charles;David Wiese;Quinton de Kock;Darren Sammy.South Africa;Kock;Darren;Chris;Dwayne Bravo;Charles;Johnson;Dwayne;Africa;Tahir;Imran;Chris Gayle;Andre;Gayle;Quinton;Russell;Samuels;Andre Russell;David;Sammy.South;Marlon Samuels;Marlon;Bravo;Wiese,,
"MOHALI: Pakistan skipper Shahid Afridi will go back home before deciding whether to retire from international cricket after his team lost to Australia and were eliminated from the World Twenty20 on Friday.Australia beat Pakistan by 21 runs in Mohali and Afridi, who had hinted before the game that retirement was imminent, said he has not yet made a final decision to call it quits.""Im going to go back home and in the next four-five days I will take a decision and whatever is better for the country, I will go with that. I think I will announce this in my country,"" the 36-year-old told reporters. ""As a player Im fine but as a captain Im not fit because its not easy to handle the pressure, especially if you are playing for Pakistanthe expectation pressure, the media pressure, everything.""Afridi, whose team lost three of their four games to finish behind arch-rivals India, Australia and New Zealand in Group Two, found few positives in Pakistans performance.Australia skipper Steven Smith guiding his team to 193-4 with an unbeaten 63 and James Faulkner took five wickets to send Pakistan out.""I think honestly speaking we were not good enough,"" Afridi said. ""I think we didnt play good cricket and if you look at the bowlers theyve really done well but, later on, in the last four overs, we gave 40 runs so its not good enough if youre playing against a world-class team.""Australia, chasing an elusive first World Twenty20 title and level on four points with India, face the host nation in Mohali on Sunday in a game that will decide their fate.""Weve just got to keep on winning,"" Smith said. ""Weve got three more games if we want to win the World Cup and thats our goal. Its going to be a tough game in a couple of days time against India.""They are a world-class side and play extremely well in these conditions, so hopefully we can keep playing some good cricket and give them a run for their money.""",3/25/2016,Pakistan captain Afridi undecided over retir,cricket,MOHALI,Im;James;Smith;Steven;Shahid Afridi;James Faulkner;Faulkner;Afridi;Steven Smith;Shahid,Afridi;Shahid Afridi,
"NAGPUR: South Africa were restricted to 122 runs for eight wickets by West Indies in their Super Ten Group One match of the World Twenty20 here at the Vidarbha Cricket Association Stadium on Friday night.Sent into bat by West Indies captain Darren Sammy, South Africa batsmen could not resist against the South African bowlers as only four batsmen got into the double-figures.Opener Quinton de Kock top scored with a solid 47, hitting three fours and a six. He was followed by David Wiese, who scored a fine innings of 28.Chris Gayle (2-17), Dwayne Bravo(2-20) and Andre Russell (2-28) were the successful bowlers for the for the West Indies.",3/25/2016,West Indies restrict South Africa to 122 8,cricket,NAGPUR,de;David Wiese;Dwayne;Quinton de Kock;Chris Gayle;Andre;Gayle;Kock;Quinton;Russell;Darren;Sammy;Darren Sammy;Andre Russell;Chris;David;Dwayne Bravo;Bravo;Wiese,,West Indies
